"Notes"	"Age Group"	"Age Group Code"	"State"	"State Code"	Population
	"< 1 year"	"1"	"Alabama"	"01"	1721100
	"< 1 year"	"1"	"Alaska"	"02"	304499
	"< 1 year"	"1"	"Arizona"	"04"	2364042
	"< 1 year"	"1"	"Arkansas"	"05"	1072933
	"< 1 year"	"1"	"California"	"06"	14989560
	"< 1 year"	"1"	"Colorado"	"08"	1805468
	"< 1 year"	"1"	"Connecticut"	"09"	1189427
	"< 1 year"	"1"	"Delaware"	"10"	311389
	"< 1 year"	"1"	"District of Columbia"	"11"	233623
	"< 1 year"	"1"	"Florida"	"12"	5934667
	"< 1 year"	"1"	"Georgia"	"13"	3618821
	"< 1 year"	"1"	"Hawaii"	"15"	515722
	"< 1 year"	"1"	"Idaho"	"16"	606911
	"< 1 year"	"1"	"Illinois"	"17"	4941456
	"< 1 year"	"1"	"Indiana"	"18"	2428752
	"< 1 year"	"1"	"Iowa"	"19"	1109207
	"< 1 year"	"1"	"Kansas"	"20"	1112539
	"< 1 year"	"1"	"Kentucky"	"21"	1572495
	"< 1 year"	"1"	"Louisiana"	"22"	1847295
	"< 1 year"	"1"	"Maine"	"23"	399804
	"< 1 year"	"1"	"Maryland"	"24"	2123050
	"< 1 year"	"1"	"Massachusetts"	"25"	2236072
	"< 1 year"	"1"	"Michigan"	"26"	3645981
	"< 1 year"	"1"	"Minnesota"	"27"	1957661
	"< 1 year"	"1"	"Mississippi"	"28"	1170223
	"< 1 year"	"1"	"Missouri"	"29"	2170204
	"< 1 year"	"1"	"Montana"	"30"	335889
	"< 1 year"	"1"	"Nebraska"	"31"	718517
	"< 1 year"	"1"	"Nevada"	"32"	913668
	"< 1 year"	"1"	"New Hampshire"	"33"	408853
	"< 1 year"	"1"	"New Jersey"	"34"	3175027
	"< 1 year"	"1"	"New Mexico"	"35"	784089
	"< 1 year"	"1"	"New York"	"36"	7200943
	"< 1 year"	"1"	"North Carolina"	"37"	3302690
	"< 1 year"	"1"	"North Dakota"	"38"	257714
	"< 1 year"	"1"	"Ohio"	"39"	4245629
	"< 1 year"	"1"	"Oklahoma"	"40"	1436772
	"< 1 year"	"1"	"Oregon"	"41"	1292568
	"< 1 year"	"1"	"Pennsylvania"	"42"	4223138
	"< 1 year"	"1"	"Rhode Island"	"44"	354768
	"< 1 year"	"1"	"South Carolina"	"45"	1617507
	"< 1 year"	"1"	"South Dakota"	"46"	322336
	"< 1 year"	"1"	"Tennessee"	"47"	2228851
	"< 1 year"	"1"	"Texas"	"48"	10367916
	"< 1 year"	"1"	"Utah"	"49"	1342222
	"< 1 year"	"1"	"Vermont"	"50"	187901
	"< 1 year"	"1"	"Virginia"	"51"	2835231
	"< 1 year"	"1"	"Washington"	"53"	2404065
	"< 1 year"	"1"	"West Virginia"	"54"	597606
	"< 1 year"	"1"	"Wisconsin"	"55"	1951139
	"< 1 year"	"1"	"Wyoming"	"56"	201604
"Total"	"< 1 year"	"1"			114089544
	"1-4 years"	"1-4"	"Alabama"	"01"	6888324
	"1-4 years"	"1-4"	"Alaska"	"02"	1206609
	"1-4 years"	"1-4"	"Arizona"	"04"	9339051
	"1-4 years"	"1-4"	"Arkansas"	"05"	4302324
	"1-4 years"	"1-4"	"California"	"06"	59652821
	"1-4 years"	"1-4"	"Colorado"	"08"	7210785
	"1-4 years"	"1-4"	"Connecticut"	"09"	4965497
	"1-4 years"	"1-4"	"Delaware"	"10"	1240525
	"1-4 years"	"1-4"	"District of Columbia"	"11"	846996
	"1-4 years"	"1-4"	"Florida"	"12"	23711257
	"1-4 years"	"1-4"	"Georgia"	"13"	14391116
	"1-4 years"	"1-4"	"Hawaii"	"15"	2008326
	"1-4 years"	"1-4"	"Idaho"	"16"	2425657
	"1-4 years"	"1-4"	"Illinois"	"17"	19830574
	"1-4 years"	"1-4"	"Indiana"	"18"	9770988
	"1-4 years"	"1-4"	"Iowa"	"19"	4477154
	"1-4 years"	"1-4"	"Kansas"	"20"	4469012
	"1-4 years"	"1-4"	"Kentucky"	"21"	6268525
	"1-4 years"	"1-4"	"Louisiana"	"22"	7369038
	"1-4 years"	"1-4"	"Maine"	"23"	1679417
	"1-4 years"	"1-4"	"Maryland"	"24"	8502014
	"1-4 years"	"1-4"	"Massachusetts"	"25"	9040611
	"1-4 years"	"1-4"	"Michigan"	"26"	14992428
	"1-4 years"	"1-4"	"Minnesota"	"27"	7925751
	"1-4 years"	"1-4"	"Mississippi"	"28"	4686724
	"1-4 years"	"1-4"	"Missouri"	"29"	8745955
	"1-4 years"	"1-4"	"Montana"	"30"	1368843
	"1-4 years"	"1-4"	"Nebraska"	"31"	2874719
	"1-4 years"	"1-4"	"Nevada"	"32"	3625959
	"1-4 years"	"1-4"	"New Hampshire"	"33"	1731559
	"1-4 years"	"1-4"	"New Jersey"	"34"	12903428
	"1-4 years"	"1-4"	"New Mexico"	"35"	3147432
	"1-4 years"	"1-4"	"New York"	"36"	28499214
	"1-4 years"	"1-4"	"North Carolina"	"37"	13138095
	"1-4 years"	"1-4"	"North Dakota"	"38"	1021921
	"1-4 years"	"1-4"	"Ohio"	"39"	17243446
	"1-4 years"	"1-4"	"Oklahoma"	"40"	5729219
	"1-4 years"	"1-4"	"Oregon"	"41"	5227797
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	17320804
	"1-4 years"	"1-4"	"Rhode Island"	"44"	1443208
	"1-4 years"	"1-4"	"South Carolina"	"45"	6500425
	"1-4 years"	"1-4"	"South Dakota"	"46"	1289930
	"1-4 years"	"1-4"	"Tennessee"	"47"	8920085
	"1-4 years"	"1-4"	"Texas"	"48"	40764523
	"1-4 years"	"1-4"	"Utah"	"49"	5164175
	"1-4 years"	"1-4"	"Vermont"	"50"	798705
	"1-4 years"	"1-4"	"Virginia"	"51"	11297712
	"1-4 years"	"1-4"	"Washington"	"53"	9621197
	"1-4 years"	"1-4"	"West Virginia"	"54"	2409038
	"1-4 years"	"1-4"	"Wisconsin"	"55"	8089454
	"1-4 years"	"1-4"	"Wyoming"	"56"	812861
"Total"	"1-4 years"	"1-4"			456891228
	"5-9 years"	"5-9"	"Alabama"	"01"	8770501
	"5-9 years"	"5-9"	"Alaska"	"02"	1508402
	"5-9 years"	"5-9"	"Arizona"	"04"	11429072
	"5-9 years"	"5-9"	"Arkansas"	"05"	5448475
	"5-9 years"	"5-9"	"California"	"06"	72800010
	"5-9 years"	"5-9"	"Colorado"	"08"	9112778
	"5-9 years"	"5-9"	"Connecticut"	"09"	6520907
	"5-9 years"	"5-9"	"Delaware"	"10"	1563195
	"5-9 years"	"5-9"	"District of Columbia"	"11"	910129
	"5-9 years"	"5-9"	"Florida"	"12"	29874572
	"5-9 years"	"5-9"	"Georgia"	"13"	18034964
	"5-9 years"	"5-9"	"Hawaii"	"15"	2402576
	"5-9 years"	"5-9"	"Idaho"	"16"	3102397
	"5-9 years"	"5-9"	"Illinois"	"17"	24812116
	"5-9 years"	"5-9"	"Indiana"	"18"	12449178
	"5-9 years"	"5-9"	"Iowa"	"19"	5803537
	"5-9 years"	"5-9"	"Kansas"	"20"	5701321
	"5-9 years"	"5-9"	"Kentucky"	"21"	7944691
	"5-9 years"	"5-9"	"Louisiana"	"22"	9291777
	"5-9 years"	"5-9"	"Maine"	"23"	2295828
	"5-9 years"	"5-9"	"Maryland"	"24"	10720816
	"5-9 years"	"5-9"	"Massachusetts"	"25"	11542985
	"5-9 years"	"5-9"	"Michigan"	"26"	19558666
	"5-9 years"	"5-9"	"Minnesota"	"27"	10234154
	"5-9 years"	"5-9"	"Mississippi"	"28"	5955948
	"5-9 years"	"5-9"	"Missouri"	"29"	11209041
	"5-9 years"	"5-9"	"Montana"	"30"	1805385
	"5-9 years"	"5-9"	"Nebraska"	"31"	3641842
	"5-9 years"	"5-9"	"Nevada"	"32"	4452357
	"5-9 years"	"5-9"	"New Hampshire"	"33"	2347170
	"5-9 years"	"5-9"	"New Jersey"	"34"	16250473
	"5-9 years"	"5-9"	"New Mexico"	"35"	3987401
	"5-9 years"	"5-9"	"New York"	"36"	35291351
	"5-9 years"	"5-9"	"North Carolina"	"37"	16504645
	"5-9 years"	"5-9"	"North Dakota"	"38"	1290091
	"5-9 years"	"5-9"	"Ohio"	"39"	22259847
	"5-9 years"	"5-9"	"Oklahoma"	"40"	7261883
	"5-9 years"	"5-9"	"Oregon"	"41"	6707008
	"5-9 years"	"5-9"	"Pennsylvania"	"42"	22581227
	"5-9 years"	"5-9"	"Rhode Island"	"44"	1854309
	"5-9 years"	"5-9"	"South Carolina"	"45"	8256043
	"5-9 years"	"5-9"	"South Dakota"	"46"	1634951
	"5-9 years"	"5-9"	"Tennessee"	"47"	11315289
	"5-9 years"	"5-9"	"Texas"	"48"	50064100
	"5-9 years"	"5-9"	"Utah"	"49"	6248511
	"5-9 years"	"5-9"	"Vermont"	"50"	1095002
	"5-9 years"	"5-9"	"Virginia"	"51"	14143894
	"5-9 years"	"5-9"	"Washington"	"53"	12206527
	"5-9 years"	"5-9"	"West Virginia"	"54"	3113970
	"5-9 years"	"5-9"	"Wisconsin"	"55"	10726292
	"5-9 years"	"5-9"	"Wyoming"	"56"	1059750
