"Notes"	"State"	"State Code"	"Age Group"	"Age Group Code"	Population
	"Alabama"	"01"	"< 1 year"	"1"	56739
	"Alabama"	"01"	"1-4 years"	"1-4"	236464
	"Alabama"	"01"	"5-9 years"	"5-9"	297900
	"Alabama"	"01"	"10-14 years"	"10-14"	310495
	"Alabama"	"01"	"15-19 years"	"15-19"	315680
	"Alabama"	"01"	"20-24 years"	"20-24"	325220
	"Alabama"	"01"	"25-29 years"	"25-29"	340014
	"Alabama"	"01"	"30-34 years"	"30-34"	303526
	"Alabama"	"01"	"35-39 years"	"35-39"	303994
	"Alabama"	"01"	"40-44 years"	"40-44"	288308
	"Alabama"	"01"	"45-49 years"	"45-49"	312966
	"Alabama"	"01"	"50-54 years"	"50-54"	314492
	"Alabama"	"01"	"55-59 years"	"55-59"	336811
	"Alabama"	"01"	"60-64 years "	"60-64"	318368
	"Alabama"	"01"	"65-69 years"	"65-69"	270799
	"Alabama"	"01"	"70-74 years"	"70-74"	216922
	"Alabama"	"01"	"75-79 years"	"75-79"	150858
	"Alabama"	"01"	"80-84 years"	"80-84"	98450
	"Alabama"	"01"	"85+ years"	"85+"	89865
"Total"	"Alabama"	"01"			4887871
	"Alaska"	"02"	"< 1 year"	"1"	10665
	"Alaska"	"02"	"1-4 years"	"1-4"	42450
	"Alaska"	"02"	"5-9 years"	"5-9"	52056
	"Alaska"	"02"	"10-14 years"	"10-14"	49759
	"Alaska"	"02"	"15-19 years"	"15-19"	46263
	"Alaska"	"02"	"20-24 years"	"20-24"	53000
	"Alaska"	"02"	"25-29 years"	"25-29"	61672
	"Alaska"	"02"	"30-34 years"	"30-34"	57193
	"Alaska"	"02"	"35-39 years"	"35-39"	51672
	"Alaska"	"02"	"40-44 years"	"40-44"	42978
	"Alaska"	"02"	"45-49 years"	"45-49"	43558
	"Alaska"	"02"	"50-54 years"	"50-54"	44559
	"Alaska"	"02"	"55-59 years"	"55-59"	49246
	"Alaska"	"02"	"60-64 years "	"60-64"	45356
	"Alaska"	"02"	"65-69 years"	"65-69"	35078
	"Alaska"	"02"	"70-74 years"	"70-74"	23477
	"Alaska"	"02"	"75-79 years"	"75-79"	13893
	"Alaska"	"02"	"80-84 years"	"80-84"	7710
	"Alaska"	"02"	"85+ years"	"85+"	6853
"Total"	"Alaska"	"02"			737438
	"Arizona"	"04"	"< 1 year"	"1"	83553
	"Arizona"	"04"	"1-4 years"	"1-4"	352383
	"Arizona"	"04"	"5-9 years"	"5-9"	451726
	"Arizona"	"04"	"10-14 years"	"10-14"	476421
	"Arizona"	"04"	"15-19 years"	"15-19"	473794
	"Arizona"	"04"	"20-24 years"	"20-24"	492176
	"Arizona"	"04"	"25-29 years"	"25-29"	517980
	"Arizona"	"04"	"30-34 years"	"30-34"	467865
	"Arizona"	"04"	"35-39 years"	"35-39"	458887
	"Arizona"	"04"	"40-44 years"	"40-44"	421544
	"Arizona"	"04"	"45-49 years"	"45-49"	432165
