State,COVID-19 Deaths,Age Group,Population,COVID-19 Deaths per Million
Alabama,0.0,1-4 years,236464.0,0.0
Alabama,0.0,15-24 years,315680.0,0.0
Alabama,0.0,15-24 years,325220.0,0.0
Alabama,0.0,25-34 years,340014.0,0.0
Alabama,0.0,25-34 years,303526.0,0.0
Alabama,16.0,35-44 years,303994.0,52.63
Alabama,16.0,35-44 years,288308.0,55.5
Alabama,69.0,45-54 years,312966.0,220.47
Alabama,69.0,45-54 years,314492.0,219.4
Alabama,0.0,5-14 years,297900.0,0.0
Alabama,0.0,5-14 years,310495.0,0.0
Alabama,144.0,55-64 years,336811.0,427.54
Alabama,144.0,55-64 years,318368.0,452.31
Alabama,258.0,65-74 years,270799.0,952.74
Alabama,258.0,65-74 years,216922.0,1189.37
Alabama,273.0,75-84 years,150858.0,1809.65
Alabama,273.0,75-84 years,98450.0,2772.98
Alabama,254.0,85 years and over,89865.0,2826.46
Alabama,0.0,Under 1 year,56739.0,0.0
Alaska,0.0,1-4 years,42450.0,0.0
Alaska,0.0,15-24 years,46263.0,0.0
Alaska,0.0,15-24 years,53000.0,0.0
Alaska,0.0,25-34 years,61672.0,0.0
Alaska,0.0,25-34 years,57193.0,0.0
Alaska,0.0,35-44 years,51672.0,0.0
Alaska,0.0,35-44 years,42978.0,0.0
Alaska,0.0,45-54 years,43558.0,0.0
Alaska,0.0,45-54 years,44559.0,0.0
Alaska,0.0,5-14 years,52056.0,0.0
Alaska,0.0,5-14 years,49759.0,0.0
Alaska,0.0,55-64 years,49246.0,0.0
Alaska,0.0,55-64 years,45356.0,0.0
Alaska,0.0,65-74 years,35078.0,0.0
Alaska,0.0,65-74 years,23477.0,0.0
Alaska,0.0,75-84 years,13893.0,0.0
Alaska,0.0,75-84 years,7710.0,0.0
Alaska,0.0,85 years and over,6853.0,0.0
Alaska,0.0,Under 1 year,10665.0,0.0
Arizona,0.0,1-4 years,352383.0,0.0
Arizona,0.0,15-24 years,473794.0,0.0
Arizona,0.0,15-24 years,492176.0,0.0
Arizona,26.0,25-34 years,517980.0,50.19
Arizona,26.0,25-34 years,467865.0,55.57
Arizona,36.0,35-44 years,458887.0,78.45
Arizona,36.0,35-44 years,421544.0,85.4
Arizona,93.0,45-54 years,432165.0,215.2
Arizona,93.0,45-54 years,418625.0,222.16
Arizona,0.0,5-14 years,451726.0,0.0
Arizona,0.0,5-14 years,476421.0,0.0
Arizona,200.0,55-64 years,442085.0,452.4
Arizona,200.0,55-64 years,424192.0,471.48
Arizona,304.0,65-74 years,389729.0,780.03
