State,Race and Hispanic Origin Group,COVID-19 Deaths,Population,COVID-19 Deaths per Million
Alabama,Hispanic or Latino,12.0,217181.0,55.25
Alabama,Non-Hispanic American Indian or Alaska Native,0.0,30144.0,0.0
Alabama,Non-Hispanic Asian,0.0,79457.0,0.0
Alabama,Non-Hispanic Black,487.0,1321149.0,368.62
Alabama,Non-Hispanic White,515.0,3239940.0,158.95
Alaska,Hispanic or Latino,0.0,53288.0,0.0
Alaska,Non-Hispanic American Indian or Alaska Native,0.0,120338.0,0.0
Alaska,Non-Hispanic Asian,0.0,62592.0,0.0
Alaska,Non-Hispanic Black,0.0,32613.0,0.0
Alaska,Non-Hispanic White,0.0,468607.0,0.0
Arizona,Hispanic or Latino,440.0,2266343.0,194.15
Arizona,Non-Hispanic American Indian or Alaska Native,317.0,296309.0,1069.83
Arizona,Non-Hispanic Asian,0.0,278501.0,0.0
Arizona,Non-Hispanic Black,42.0,353248.0,118.9
Arizona,Non-Hispanic White,739.0,3977245.0,185.81
Arkansas,Hispanic or Latino,10.0,233187.0,42.88
Arkansas,Non-Hispanic American Indian or Alaska Native,0.0,25616.0,0.0
Arkansas,Non-Hispanic Asian,0.0,61834.0,0.0
Arkansas,Non-Hispanic Black,44.0,481001.0,91.48
Arkansas,Non-Hispanic White,149.0,2212187.0,67.35
California,Hispanic or Latino,2555.0,15540142.0,164.41
California,Non-Hispanic American Indian or Alaska Native,0.0,207399.0,0.0
California,Non-Hispanic Asian,876.0,6247617.0,140.21
California,Non-Hispanic Black,516.0,2446372.0,210.92
California,Non-Hispanic White,1839.0,15115515.0,121.66
Colorado,Hispanic or Latino,381.0,1235117.0,308.47
Colorado,Non-Hispanic American Indian or Alaska Native,0.0,43571.0,0.0
Colorado,Non-Hispanic Asian,48.0,215851.0,222.38
Colorado,Non-Hispanic Black,111.0,264591.0,419.52
Colorado,Non-Hispanic White,989.0,3936434.0,251.24
Connecticut,Hispanic or Latino,357.0,589809.0,605.28
Connecticut,Non-Hispanic American Indian or Alaska Native,0.0,9566.0,0.0
Connecticut,Non-Hispanic Asian,37.0,177966.0,207.9
Connecticut,Non-Hispanic Black,584.0,387134.0,1508.52
Connecticut,Non-Hispanic White,2804.0,2408190.0,1164.36
Delaware,Hispanic or Latino,0.0,91974.0,0.0
Delaware,Non-Hispanic American Indian or Alaska Native,0.0,3497.0,0.0
Delaware,Non-Hispanic Asian,0.0,41298.0,0.0
Delaware,Non-Hispanic Black,115.0,221211.0,519.87
Delaware,Non-Hispanic White,356.0,609191.0,584.38
District of Columbia,Hispanic or Latino,62.0,79249.0,782.34
District of Columbia,Non-Hispanic American Indian or Alaska Native,0.0,1829.0,0.0
District of Columbia,Non-Hispanic Asian,0.0,32947.0,0.0
District of Columbia,Non-Hispanic Black,426.0,323515.0,1316.79
District of Columbia,Non-Hispanic White,53.0,264915.0,200.06
Florida,Hispanic or Latino,842.0,5562417.0,151.37
Florida,Non-Hispanic American Indian or Alaska Native,0.0,60736.0,0.0
Florida,Non-Hispanic Asian,32.0,675218.0,47.39
Florida,Non-Hispanic Black,697.0,3415924.0,204.04
Florida,Non-Hispanic White,1610.0,11585030.0,138.97
