State,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Population,COVID-19 Deaths per Million,Pneumonia Deaths per Million,Influenza Deaths per Million
Alabama,1014.0,24256.0,1593.0,288.0,45.0,2408.0,4887871.0,207.45,325.91,9.21
Alaska,0.0,1582.0,21.0,0.0,0.0,45.0,737438.0,0.0,28.48,0.0
Arizona,1538.0,30782.0,2491.0,780.0,51.0,3356.0,7171646.0,214.46,347.34,7.11
Arkansas,203.0,14359.0,896.0,35.0,41.0,1124.0,3013825.0,67.36,297.3,13.6
California,5786.0,127986.0,11702.0,3197.0,481.0,14902.0,39557045.0,146.27,295.83,12.16
Colorado,1529.0,19613.0,1744.0,773.0,53.0,2608.0,5695564.0,268.45,306.2,9.31
Connecticut,3793.0,14587.0,1483.0,822.0,47.0,4528.0,3572665.0,1061.67,415.1,13.16
Delaware,471.0,4374.0,340.0,161.0,0.0,665.0,967171.0,486.99,351.54,0.0
District of Columbia,541.0,3264.0,706.0,534.0,0.0,718.0,702455.0,770.16,1005.05,0.0
Florida,3181.0,99747.0,7546.0,1628.0,227.0,9390.0,21299325.0,149.35,354.28,10.66
Georgia,2218.0,39263.0,2929.0,977.0,49.0,4281.0,10519475.0,210.85,278.44,4.66
Hawaii,0.0,5045.0,227.0,0.0,0.0,256.0,1420491.0,0.0,159.8,0.0
Idaho,79.0,6123.0,269.0,0.0,0.0,350.0,1754208.0,45.03,153.35,0.0
Illinois,6278.0,56517.0,6319.0,3151.0,128.0,9607.0,12741080.0,492.74,495.95,10.05
Indiana,2491.0,31815.0,3053.0,1022.0,115.0,4647.0,6691878.0,372.24,456.22,17.19
Iowa,612.0,13686.0,895.0,142.0,69.0,1489.0,3156145.0,193.91,283.57,21.86
Kansas,230.0,11839.0,712.0,63.0,73.0,951.0,2911505.0,79.0,244.55,25.07
Kentucky,522.0,20673.0,1836.0,257.0,85.0,2223.0,4468402.0,116.82,410.89,19.02
Louisiana,2856.0,22851.0,2237.0,1313.0,36.0,3831.0,4659978.0,612.88,480.05,7.73
Maine,93.0,6577.0,459.0,0.0,11.0,570.0,1338404.0,69.49,342.95,8.22
Maryland,3342.0,26600.0,2843.0,1215.0,79.0,5041.0,6042718.0,553.06,470.48,13.07
Massachusetts,7512.0,34146.0,4723.0,2687.0,129.0,9696.0,6902149.0,1088.36,684.28,18.69
Michigan,5456.0,50246.0,5277.0,2659.0,192.0,8280.0,9995915.0,545.82,527.92,19.21
Minnesota,1291.0,21093.0,1521.0,318.0,91.0,2633.0,5611179.0,230.08,271.07,16.22
Mississippi,1007.0,15604.0,1501.0,445.0,11.0,2109.0,2986530.0,337.18,502.59,3.68
Missouri,885.0,28634.0,1725.0,292.0,140.0,2509.0,6126452.0,144.46,281.57,22.85
Montana,0.0,4342.0,187.0,0.0,10.0,226.0,1062305.0,0.0,176.03,9.41
Nebraska,195.0,7392.0,485.0,50.0,10.0,670.0,1929268.0,101.07,251.39,5.18
Nevada,418.0,11929.0,998.0,282.0,10.0,1164.0,3034392.0,137.75,328.9,3.3
New Hampshire,327.0,5874.0,389.0,82.0,0.0,662.0,1356458.0,241.07,286.78,0.0
New Jersey,13509.0,49944.0,9041.0,6576.0,63.0,16092.0,8908520.0,1516.41,1014.87,7.07
New Mexico,439.0,8406.0,624.0,143.0,0.0,932.0,2095428.0,209.5,297.79,0.0
New York,31334.0,108952.0,19553.0,13164.0,1058.0,38026.0,19542209.0,1603.4,1000.55,54.14
North Carolina,967.0,34615.0,2372.0,324.0,173.0,3221.0,10383620.0,93.13,228.44,16.66
North Dakota,48.0,2847.0,205.0,0.0,0.0,267.0,760077.0,63.15,269.71,0.0
Ohio,2381.0,55225.0,3555.0,999.0,204.0,5247.0,11689442.0,203.69,304.12,17.45
Oklahoma,284.0,16846.0,1373.0,102.0,70.0,1716.0,3943079.0,72.02,348.21,17.75
Oregon,157.0,15858.0,698.0,51.0,37.0,868.0,4190713.0,37.46,166.56,8.83
Pennsylvania,6902.0,62483.0,5431.0,2493.0,163.0,10030.0,12807060.0,538.92,424.06,12.73
Rhode Island,848.0,5073.0,505.0,297.0,10.0,1102.0,1057315.0,802.03,477.62,9.46
South Carolina,700.0,23729.0,1473.0,261.0,52.0,2020.0,5084127.0,137.68,289.73,10.23
South Dakota,55.0,3416.0,236.0,13.0,0.0,308.0,882235.0,62.34,267.5,0.0
Tennessee,482.0,34009.0,2391.0,165.0,104.0,2844.0,6770010.0,71.2,353.18,15.36
Texas,2655.0,93852.0,7161.0,1161.0,283.0,8996.0,28701845.0,92.5,249.5,9.86
Utah,111.0,8645.0,426.0,14.0,0.0,538.0,3161105.0,35.11,134.76,0.0
Vermont,49.0,2669.0,140.0,0.0,0.0,190.0,626299.0,78.24,223.54,0.0
Virginia,1929.0,32909.0,2023.0,615.0,67.0,3423.0,8517685.0,226.47,237.51,7.87
Washington,1117.0,26469.0,1965.0,546.0,80.0,2655.0,7535591.0,148.23,260.76,10.62
West Virginia,85.0,8380.0,586.0,22.0,33.0,696.0,1805832.0,47.07,324.5,18.27
Wisconsin,706.0,24962.0,1209.0,90.0,112.0,1994.0,5813568.0,121.44,207.96,19.27
Wyoming,0.0,1979.0,100.0,0.0,0.0,111.0,577737.0,0.0,173.09,0.0
